date,advertiser_id,advertiser_name,campaign_id,campaign_name,media_type,creative_id,creative_name,creative_size,landing_page,video_duration,country,province,video_type,device_type,demo_gender,demo_age,audience_id,audience_name,audience_type,spend,impressions,clicks,engagements,total_time_on_site,1s_time_on_site,conversions,video_started,video_completed_25,video_completed_50,video_completed_75,video_completed
2020-11-15,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,752.267795,167632,402,38,5693,271,0,0,0,0,0,0
2020-11-16,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,585.722773,142446,317,51,4430,233,0,0,0,0,0,0
2020-11-17,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,570.488754,130415,275,32,3222,190,0,0,0,0,0,0
2020-11-23,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,479.464612,115133,255,38,8938,178,0,0,0,0,0,0
2020-11-22,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,494.024707,113906,261,38,3820,182,0,0,0,0,0,0
2020-11-20,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,478.169472,113122,263,41,3616,195,0,0,0,0,0,0
2020-11-24,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,486.13446,112965,227,33,2884,170,0,0,0,0,0,0
2020-11-21,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,472.815636,111734,281,43,3256,208,0,0,0,0,0,0
2020-11-25,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,485.245291,107734,267,37,3931,201,0,0,0,0,0,0
2020-11-19,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,469.919488,105915,235,46,4820,175,0,0,0,0,0,0
2020-11-27,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,430.431882,97421,303,48,6453,234,0,0,0,0,0,0
2020-11-26,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,436.803004,96369,254,38,3706,177,0,0,0,0,0,0
2020-11-28,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,357.462078,81589,233,38,8611,168,0,0,0,0,0,0
2020-11-18,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,354.78647,78541,163,32,3003,118,0,0,0,0,0,0
2020-11-26,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,462.115548,74645,357,82,10540,255,0,0,0,0,0,0
2020-11-29,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,461.324164,74499,382,97,11425,289,0,0,0,0,0,0
2020-11-29,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,309.67735,74437,227,33,6422,151,0,0,0,0,0,0
2020-11-27,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,468.737196,72216,362,78,11067,229,0,0,0,0,0,0
2020-11-28,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,440.664809,69916,288,69,8488,199,0,0,0,0,0,0
2020-11-17,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,250.798716,68938,75,10,889,52,0,0,0,0,0,0
2020-11-19,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,261.065257,64128,55,10,1885,37,0,0,0,0,0,0
2020-11-20,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,231.83002,63286,65,13,1057,43,0,0,0,0,0,0
2020-11-23,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,191.898592,54322,63,9,1900,38,0,0,0,0,0,0
2020-11-24,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,332.016879,54281,204,53,8890,147,0,0,0,0,0,0
2020-11-25,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,340.785163,53946,247,54,6131,181,0,0,0,0,0,0
2020-11-21,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,318.50895,53442,247,56,18361,168,0,0,0,0,0,0
2020-11-16,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,191.742966,53413,90,10,687,44,0,0,0,0,0,0
2020-11-24,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,193.464332,52797,61,8,516,33,0,0,0,0,0,0
2020-11-22,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,324.758243,51891,252,59,8821,181,0,0,0,0,0,0
2020-11-23,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,288.662506,48071,171,40,7190,121,0,0,0,0,0,0
2020-11-20,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,292.065829,46662,189,46,7777,123,0,0,0,0,0,0
2020-11-21,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,150.33009,44919,44,5,346,28,0,0,0,0,0,0
2020-11-19,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,275.210038,43855,168,46,6926,117,0,0,0,0,0,0
2020-11-25,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,145.273329,43324,54,7,1128,34,0,0,0,0,0,0
2020-11-18,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,166.625607,41272,39,4,238,22,0,0,0,0,0,0
2020-11-15,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,232.659592,40146,206,46,4880,139,0,0,0,0,0,0
2020-11-16,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,224.580143,38155,166,29,2197,120,0,0,0,0,0,0
2020-11-22,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,148.157215,37852,46,6,2278,33,0,0,0,0,0,0
2020-11-30,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,218.593215,35217,173,40,4065,121,0,0,0,0,0,0
2020-11-29,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,60.251001,34667,46,7,2451,26,0,0,0,0,0,0
2020-11-17,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,183.435513,33955,154,35,7689,108,0,0,0,0,0,0
2020-11-26,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,99.280248,32262,28,2,193,13,0,0,0,0,0,0
2020-11-30,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Mobile (Web),Female,,c_12m,Affordable Takeout Options,First Party,136.551648,31540,114,20,1049,82,0,0,0,0,0,0
2020-11-18,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,In-App,Female,,c_12m,Affordable Takeout Options,First Party,188.620794,30397,124,25,2827,89,0,0,0,0,0,0
2020-11-27,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,63.535649,21169,59,8,510,44,0,0,0,0,0,0
2020-11-28,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,49.790763,20077,39,4,419,27,0,0,0,0,0,0
2020-11-30,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,28.559908,10364,19,1,159,13,0,0,0,0,0,0
2020-11-15,21059,Chill Burger,104573,Prospecting - Ontario,native,621995,Ice Cream Treat,,Ways to Make it a Combo,0,CA,ON,,Desktop,Female,,c_12m,Affordable Takeout Options,First Party,31.212472,8481,16,4,123,8,0,0,0,0,0,0
